order_id,customer_id,order_date,category,channel,quantity,base_price,revenue
1,33,2023-01-01,Fashion,Organic,1,80,80.0
2,14,2023-01-01,Fashion,Organic,2,80,160.0
3,30,2023-01-01,Sports,Organic,1,120,120.0
4,22,2023-01-01,Fashion,Organic,1,80,80.0
5,24,2023-01-01,Home,Organic,1,150,150.0
6,4,2023-01-01,Fashion,Organic,1,80,80.0
7,15,2023-01-01,Sports,Organic,1,120,120.0
8,30,2023-01-01,Fashion,Organic,2,80,160.0
9,22,2023-01-01,Home,Organic,2,150,300.0
10,31,2023-01-01,Fashion,Organic,1,80,80.0
11,24,2023-01-01,Sports,Organic,1,120,120.0
12,29,2023-01-01,Electronics,Organic,1,450,450.0
13,8,2023-01-01,Electronics,Organic,1,450,450.0
14,7,2023-01-01,Sports,Organic,2,120,240.0
15,8,2023-01-01,Sports,Paid Search,1,120,108.0
16,26,2023-01-01,Home,Paid Search,1,150,135.0
17,14,2023-01-01,Fashion,Paid Search,1,80,72.0
18,30,2023-01-01,Sports,Paid Search,2,120,216.0
19,26,2023-01-02,Fashion,Organic,1,80,80.0
20,27,2023-01-02,Sports,Organic,1,120,120.0
21,80,2023-01-02,Fashion,Organic,1,80,80.0
22,38,2023-01-02,Fashion,Organic,1,80,80.0
23,45,2023-01-02,Fashion,Organic,1,80,80.0
24,17,2023-01-02,Fashion,Organic,3,80,240.0
25,84,2023-01-02,Sports,Organic,1,120,120.0
26,23,2023-01-02,Home,Organic,1,150,150.0
27,65,2023-01-02,Fashion,Organic,2,80,160.0
28,70,2023-01-02,Fashion,Organic,1,80,80.0
29,82,2023-01-02,Home,Organic,1,150,150.0
30,42,2023-01-02,Fashion,Organic,3,80,240.0
31,15,2023-01-02,Sports,Organic,1,120,120.0
32,46,2023-01-02,Sports,Organic,1,120,120.0
33,26,2023-01-02,Sports,Social,1,120,120.0
34,35,2023-01-02,Electronics,Social,1,450,450.0
35,66,2023-01-02,Sports,Paid Search,1,120,108.0
36,101,2023-01-02,Fashion,Paid Search,1,80,72.0
37,102,2023-01-02,Electronics,Paid Search,1,450,405.0
38,103,2023-01-02,Home,Paid Search,1,150,135.0
39,14,2023-01-03,Fashion,Organic,1,80,80.0
40,78,2023-01-03,Sports,Organic,1,120,120.0
41,126,2023-01-03,Sports,Organic,1,120,120.0
42,147,2023-01-03,Fashion,Organic,1,80,80.0
43,141,2023-01-03,Sports,Organic,1,120,120.0
44,92,2023-01-03,Fashion,Organic,3,80,240.0
45,19,2023-01-03,Fashion,Organic,1,80,80.0
46,82,2023-01-03,Fashion,Organic,1,80,80.0
47,135,2023-01-03,Electronics,Organic,1,450,450.0
48,57,2023-01-03,Fashion,Organic,1,80,80.0
49,48,2023-01-03,Sports,Organic,2,120,240.0
50,134,2023-01-03,Home,Organic,1,150,150.0
51,18,2023-01-03,Home,Organic,1,150,150.0
52,130,2023-01-03,Home,Organic,1,150,150.0
53,83,2023-01-03,Fashion,Paid Search,2,80,144.0
54,98,2023-01-03,Fashion,Paid Search,1,80,72.0
55,30,2023-01-03,Electronics,Paid Search,1,450,405.0
56,99,2023-01-03,Home,Paid Search,1,150,135.0
57,148,2023-01-04,Fashion,Organic,1,80,80.0
58,59,2023-01-04,Electronics,Organic,1,450,450.0
59,67,2023-01-04,Sports,Organic,1,120,120.0
60,105,2023-01-04,Home,Organic,2,150,300.0
61,100,2023-01-04,Fashion,Organic,1,80,80.0
62,116,2023-01-04,Sports,Organic,1,120,120.0
63,162,2023-01-04,Fashion,Organic,1,80,80.0
64,104,2023-01-04,Sports,Organic,2,120,240.0
65,111,2023-01-04,Home,Organic,1,150,150.0
66,81,2023-01-04,Fashion,Organic,1,80,80.0
67,5,2023-01-04,Electronics,Organic,1,450,450.0
68,100,2023-01-04,Sports,Organic,2,120,240.0
69,173,2023-01-04,Home,Organic,1,150,150.0
70,31,2023-01-04,Fashion,Organic,1,80,80.0
71,41,2023-01-04,Fashion,Email,1,80,80.0
72,137,2023-01-04,Electronics,Email,1,450,450.0
73,57,2023-01-04,Fashion,Email,1,80,80.0
74,35,2023-01-04,Fashion,Email,2,80,160.0
75,192,2023-01-04,Fashion,Email,1,80,80.0
76,101,2023-01-04,Electronics,Email,1,450,450.0
77,204,2023-01-04,Fashion,Email,1,80,80.0
78,205,2023-01-04,Fashion,Email,1,80,80.0
79,140,2023-01-04,Home,Email,1,150,150.0
80,76,2023-01-04,Sports,Email,1,120,120.0
81,163,2023-01-04,Electronics,Email,1,450,450.0
82,37,2023-01-04,Fashion,Email,2,80,160.0
83,77,2023-01-04,Home,Email,2,150,300.0
84,174,2023-01-04,Sports,Email,1,120,120.0
85,204,2023-01-04,Fashion,Email,1,80,80.0
86,187,2023-01-04,Sports,Email,1,120,120.0
87,166,2023-01-04,Electronics,Email,1,450,450.0
88,96,2023-01-04,Electronics,Email,1,450,450.0
89,3,2023-01-04,Fashion,Email,1,80,80.0
90,142,2023-01-04,Sports,Email,1,120,120.0
91,143,2023-01-04,Electronics,Email,1,450,450.0
92,37,2023-01-04,Home,Email,1,150,150.0
93,32,2023-01-04,Fashion,Email,1,80,80.0
94,50,2023-01-04,Fashion,Paid Search,1,80,72.0
95,30,2023-01-04,Home,Paid Search,1,150,135.0
96,47,2023-01-04,Home,Paid Search,1,150,135.0
97,172,2023-01-04,Fashion,Paid Search,1,80,72.0
98,170,2023-01-05,Sports,Organic,1,120,120.0
99,246,2023-01-05,Fashion,Organic,1,80,80.0
100,237,2023-01-05,Home,Organic,1,150,150.0
101,229,2023-01-05,Sports,Organic,1,120,120.0
102,184,2023-01-05,Electronics,Organic,1,450,450.0
103,157,2023-01-05,Fashion,Organic,1,80,80.0
104,250,2023-01-05,Fashion,Organic,1,80,80.0
105,56,2023-01-05,Electronics,Organic,1,450,450.0
106,90,2023-01-05,Home,Organic,1,150,150.0
107,42,2023-01-05,Electronics,Organic,1,450,450.0
108,144,2023-01-05,Sports,Organic,1,120,120.0
109,72,2023-01-05,Fashion,Organic,1,80,80.0
110,101,2023-01-05,Home,Organic,1,150,150.0
111,135,2023-01-05,Fashion,Organic,1,80,80.0
112,115,2023-01-05,Fashion,Paid Search,1,80,72.0
113,149,2023-01-05,Sports,Paid Search,1,120,108.0
114,69,2023-01-05,Home,Paid Search,1,150,135.0
115,265,2023-01-06,Fashion,Organic,2,80,160.0
116,129,2023-01-06,Electronics,Organic,1,450,450.0
117,193,2023-01-06,Home,Organic,1,150,150.0
118,115,2023-01-06,Home,Organic,1,150,150.0
119,265,2023-01-06,Sports,Organic,1,120,120.0
120,208,2023-01-06,Fashion,Organic,3,80,240.0
121,181,2023-01-06,Home,Organic,1,150,150.0
122,177,2023-01-06,Home,Organic,1,150,150.0
123,250,2023-01-06,Electronics,Organic,1,450,450.0
124,247,2023-01-06,Sports,Organic,1,120,120.0
125,310,2023-01-06,Home,Organic,1,150,150.0
126,4,2023-01-06,Home,Organic,1,150,150.0
127,257,2023-01-06,Home,Organic,1,150,150.0
128,72,2023-01-06,Home,Organic,3,150,450.0
129,213,2023-01-06,Sports,Paid Search,1,120,108.0
130,170,2023-01-06,Home,Paid Search,2,150,270.0
131,59,2023-01-06,Electronics,Paid Search,1,450,405.0
132,68,2023-01-07,Home,Organic,1,150,150.0
133,56,2023-01-07,Fashion,Organic,1,80,80.0
134,9,2023-01-07,Fashion,Organic,1,80,80.0
135,104,2023-01-07,Sports,Organic,1,120,120.0
136,268,2023-01-07,Sports,Organic,1,120,120.0
137,259,2023-01-07,Fashion,Organic,1,80,80.0
138,351,2023-01-07,Fashion,Organic,1,80,80.0
139,215,2023-01-07,Electronics,Organic,1,450,450.0
140,77,2023-01-07,Fashion,Organic,1,80,80.0
141,311,2023-01-07,Fashion,Organic,1,80,80.0
142,50,2023-01-07,Fashion,Organic,1,80,80.0
143,91,2023-01-07,Electronics,Organic,1,450,450.0
144,244,2023-01-07,Sports,Organic,1,120,120.0
145,315,2023-01-07,Home,Organic,1,150,150.0
146,23,2023-01-07,Sports,Paid Search,1,120,108.0
147,358,2023-01-07,Sports,Paid Search,1,120,108.0
148,272,2023-01-07,Electronics,Paid Search,2,450,810.0
149,92,2023-01-08,Home,Organic,2,150,300.0
150,190,2023-01-08,Fashion,Organic,1,80,80.0
151,287,2023-01-08,Home,Organic,1,150,150.0
152,285,2023-01-08,Sports,Organic,1,120,120.0
153,248,2023-01-08,Fashion,Organic,2,80,160.0
154,130,2023-01-08,Electronics,Organic,1,450,450.0
155,158,2023-01-08,Fashion,Organic,1,80,80.0
156,296,2023-01-08,Electronics,Organic,1,450,450.0
157,177,2023-01-08,Fashion,Organic,1,80,80.0
158,397,2023-01-08,Sports,Organic,1,120,120.0
159,362,2023-01-08,Electronics,Organic,1,450,450.0
160,204,2023-01-08,Sports,Organic,1,120,120.0
161,377,2023-01-08,Fashion,Organic,1,80,80.0
162,71,2023-01-08,Fashion,Organic,1,80,80.0
163,326,2023-01-08,Sports,Email,1,120,120.0
164,3,2023-01-08,Fashion,Email,1,80,80.0
165,412,2023-01-08,Fashion,Email,1,80,80.0
166,47,2023-01-08,Fashion,Email,1,80,80.0
